,Gambia
7/6/21,0.0
7/7/21,0.0
7/8/21,67.0
7/9/21,0.0
7/10/21,99.0
7/11/21,0.0
7/12/21,46.0
7/13/21,86.0
7/14/21,107.0
7/15/21,89.0
7/16/21,0.0
7/17/21,0.0
7/18/21,310.0
7/19/21,0.0
7/20/21,0.0
7/21/21,0.0
7/22/21,241.0
7/23/21,0.0
7/24/21,172.0
7/25/21,0.0
7/26/21,0.0
7/27/21,0.0
7/28/21,376.0
7/29/21,0.0
7/30/21,0.0
7/31/21,0.0
8/1/21,0.0
8/2/21,0.0
8/3/21,587.0
8/4/21,96.0
8/5/21,113.0
8/6/21,0.0
8/7/21,98.0
8/8/21,0.0
8/9/21,0.0
8/10/21,0.0
8/11/21,317.0
8/12/21,0.0
8/13/21,0.0
8/14/21,0.0
8/15/21,275.0
8/16/21,0.0
8/17/21,0.0
8/18/21,123.0
8/19/21,0.0
8/20/21,46.0
8/21/21,0.0
8/22/21,75.0
8/23/21,31.0
8/24/21,0.0
8/25/21,0.0
8/26/21,63.0
8/27/21,0.0
8/28/21,0.0
8/29/21,93.0
8/30/21,72.0
8/31/21,0.0
9/1/21,17.0
9/2/21,0.0
9/3/21,21.0
9/4/21,0.0
9/5/21,0.0
9/6/21,53.0
9/7/21,0.0
9/8/21,0.0
9/9/21,31.0
9/10/21,0.0
9/11/21,0.0
9/12/21,28.0
9/13/21,0.0
9/14/21,0.0
9/15/21,19.0
9/16/21,0.0
9/17/21,0.0
9/18/21,0.0
9/19/21,21.0
9/20/21,0.0
9/21/21,12.0
9/22/21,0.0
9/23/21,1.0
9/24/21,10.0
9/25/21,0.0
9/26/21,19.0
9/27/21,0.0
9/28/21,0.0
9/29/21,4.0
9/30/21,0.0
10/1/21,1.0
10/2/21,0.0
10/3/21,0.0
10/4/21,0.0
10/5/21,0.0
10/6/21,4.0
10/7/21,0.0
10/8/21,0.0
10/9/21,0.0
10/10/21,2.0
10/11/21,0.0
10/12/21,2.0
10/13/21,0.0
10/14/21,0.0
10/15/21,3.0
10/16/21,0.0
10/17/21,0.0
10/18/21,0.0
10/19/21,0.0
10/20/21,0.0
10/21/21,0.0
10/22/21,10.0
10/23/21,0.0
10/24/21,0.0
10/25/21,0.0
10/26/21,3.0
10/27/21,4.0
10/28/21,0.0
10/29/21,2.0
10/30/21,0.0
10/31/21,0.0
11/1/21,2.0
11/2/21,6.0
11/3/21,0.0
11/4/21,0.0
11/5/21,0.0
11/6/21,0.0
11/7/21,0.0
11/8/21,0.0
11/9/21,6.0
11/10/21,1.0
11/11/21,0.0
11/12/21,0.0
11/13/21,0.0
11/14/21,0.0
11/15/21,0.0
11/16/21,6.0
11/17/21,0.0
11/18/21,0.0
11/19/21,0.0
11/20/21,0.0
11/21/21,2.0
11/22/21,0.0
11/23/21,0.0
11/24/21,0.0
11/25/21,1.0
11/26/21,0.0
11/27/21,0.0
11/28/21,0.0
11/29/21,0.0
11/30/21,0.0
12/1/21,0.0
12/2/21,3.0
12/3/21,0.0
12/4/21,0.0
12/5/21,0.0
12/6/21,6.0
12/7/21,0.0
12/8/21,0.0
12/9/21,0.0
12/10/21,0.0
12/11/21,0.0
12/12/21,36.0
12/13/21,0.0
12/14/21,11.0
12/15/21,0.0
12/16/21,0.0
12/17/21,6.0
12/18/21,0.0
12/19/21,0.0
12/20/21,0.0
12/21/21,27.0
12/22/21,0.0
12/23/21,9.0
12/24/21,0.0
12/25/21,0.0
12/26/21,0.0
12/27/21,49.0
12/28/21,0.0
12/29/21,0.0
12/30/21,0.0
12/31/21,34.0
1/1/22,0.0
1/2/22,0.0
1/3/22,0.0
1/4/22,206.0
1/5/22,0.0
1/6/22,416.0
1/7/22,0.0
1/8/22,0.0
1/9/22,0.0
1/10/22,0.0
1/11/22,330.0
1/12/22,0.0
1/13/22,0.0
1/14/22,0.0
1/15/22,0.0
1/16/22,0.0
1/17/22,450.0
1/18/22,0.0
1/19/22,0.0
1/20/22,0.0
1/21/22,0.0
1/22/22,0.0
1/23/22,0.0
1/24/22,0.0
1/25/22,0.0
1/26/22,0.0
1/27/22,0.0
1/28/22,0.0
1/29/22,270.0
1/30/22,0.0
1/31/22,0.0
2/1/22,21.0
2/2/22,0.0
2/3/22,0.0
2/4/22,17.0
2/5/22,0.0
2/6/22,0.0
2/7/22,0.0
2/8/22,0.0
2/9/22,31.0
2/10/22,0.0
2/11/22,0.0
2/12/22,0.0
2/13/22,0.0
2/14/22,0.0
2/15/22,0.0
2/16/22,13.0
2/17/22,0.0
2/18/22,0.0
2/19/22,0.0
2/20/22,0.0
2/21/22,0.0
2/22/22,0.0
2/23/22,0.0
2/24/22,0.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,15.0
